and @و
that @ذلك
this @هذه
with @مع
you @أنت
not @ليس
are @هم
all @كل
have @يملك
new @جديد
more @أكثر
was @كان
will @إرادة
can @يستطيع
about @حول
page @صفحة
has @لديها
search @بحث
free @مجانا
but @لكن
our @لنا
one @واحد
other @آخر
information @معلومات
time @زمن
they @هم
site @موقع
may @مايو
what @ماذا
which @ذي
their @هم
news @أخبار
out @خارج
use @استعمال
any @أي
there @هناك
see @نرى
only @فقط
his @له
when @متى
contact @اتصل
here @هنا
business @اعمال
web @ويب
also @أيضا
now @آن
help @مساعدة
view @رأي
first @أول
been @ايضا
would @سيكون
how @كيف
were @كانوا
services @خدمات
some @بعض
these @هؤلاء
click @انقر
its @انها
like @مثل
service @خدمات
than @من
find @تجد
price @سعر
date @تاريخ
back @عودة
top @أعلى
people @اشخاص
had @كان
list @قائمة
name @اسم
just @مجرد
over @على
state @حالة
year @عام
day @يوم
into @إلى
two @اثنان
health @صحة
world @عالمية
next @تالى
used @مستخدم
work @عمل
last @اخير
most @معظم
products @منتجات
music @موسيقى
buy @يشترى
data @بيانات
make @يصنع
them @معهم
should @ينبغي
product @منتج
system @نظام
post @بريد
her @لها
city @مدينة
add @أضف
policy @سياسات
number @رقم
such @هذه
please @رجاء
available @متاح
support @دعم
message @رسالة
after @بعد
best @أفضل
then @ثم
jan @يناير
good @جيد
video @فيديو
well @حسنا
where @أين
info @معلومات
rights @حقوق
public @عامة
books @كتب
high @عالي
school @مدرسة
through @عبر
each @كل
links @روابط
she @هي
review @مراجعة
years @سنوات
order @طلب
very @للغاية
privacy @خصوصية
book @كتاب
items @عناصر
company @شركة
read @اقرأ
group @مجموعة
sex @جنس
many @كثير
user @مستعمل
said @قال
does @هل
set @جلس
under @تحت
research @ابحاث
university @جامعة
mail @بريد
full @ممتلئ
map @خريطة
program @برنامج
life @حياة
know @أعرف
games @ألعاب
way @طريق
days @أيام
management @إدارة
part @جزء
could @استطاع
great @عظيم
united @متحد
hotel @فندق
real @حقيقة
item @بند
international @دولي
center @مركز
ebay @ايباي
must @يجب
store @متجر
travel @سفر
comments @تعليقات
made @مصنوع
development @تطوير
report @نقل
off @إيقاف
member @عضو
details @تفاصيل
line @خط
terms @شروط
before @قبل
hotels @فنادق
did @فعل
send @إرسال
right @حق
type @اكتب
because @لان
local @محلي
those @أولئك
using @باستخدام
results @نتائج
education @تعليم
national @وطني
car @سيارة
design @تصميم
take @يأخذ
internet @إنترنت
address @عنوان
area @منطقة
want @تريد
phone @هاتف
shipping @شحن
reserved @محجوز
subject @موضوع
forum @منتدى
family @أسرة
long @طويل
code @شفرة
show @تبين
black @أسود
special @مميز
prices @أسعار
index @فهرس
being @يجرى
women @نساء
much @كثير
sign @إشارة
file @ملف
open @افتح
